date,air_pressure,wind_speed,wind_direction,surge_height
2015-07-11 06:00:00,1009.6,4.3,44,0.9
2015-07-11 06:10:00,1009.6,4.4,40,0.9
2015-07-11 06:20:00,1009.7,4.2,26,0.9
2015-07-11 06:30:00,1009.6,3.8,27,0.8
2015-07-11 06:40:00,1009.7,4.1,28,0.8
2015-07-11 06:50:00,1009.8,3.8,30,0.8
2015-07-11 07:00:00,1009.7,3.5,32,0.9
2015-07-11 07:10:00,1009.6,3.4,35,0.9
2015-07-11 07:20:00,1009.8,3.5,22,0.9
2015-07-11 07:30:00,1009.7,4.0,50,1.0
2015-07-11 07:40:00,1009.7,5.0,25,1.0
2015-07-11 07:50:00,1009.7,4.8,52,1.0
2015-07-11 08:00:00,1009.9,4.9,29,1.0
2015-07-11 08:10:00,1009.8,4.4,46,1.0
2015-07-11 08:20:00,1009.8,4.2,54,1.0
2015-07-11 08:30:00,1009.7,4.5,54,0.9
2015-07-11 08:40:00,1009.7,4.3,35,0.9
2015-07-11 08:50:00,1009.7,4.4,45,0.9
2015-07-11 09:00:00,1009.7,4.4,65,0.9
2015-07-11 09:10:00,1009.7,4.1,22,0.9
2015-07-11 09:20:00,1009.6,4.2,50,0.9
2015-07-11 09:30:00,1009.6,5.0,31,0.9
2015-07-11 09:40:00,1009.5,5.5,56,0.9
2015-07-11 09:50:00,1009.5,6.1,54,0.9
2015-07-11 10:00:00,1009.3,5.9,72,1.0
2015-07-11 10:10:00,1009.2,6.2,58,1.0
2015-07-11 10:20:00,1009.1,6.4,36,1.0
2015-07-11 10:30:00,1008.9,6.2,15,1.0
2015-07-11 10:40:00,1009.0,6.3,39,1.0
2015-07-11 10:50:00,1008.9,6.4,40,1.0
2015-07-11 11:00:00,1008.6,6.2,78,1.2
2015-07-11 11:10:00,1008.6,6.6,51,1.2
2015-07-11 11:20:00,1008.4,6.6,48,1.2
2015-07-11 11:30:00,1008.3,6.9,29,1.3
2015-07-11 11:40:00,1008.2,7.2,57,1.3
2015-07-11 11:50:00,1008.0,6.9,75,1.3
2015-07-11 12:00:00,1007.9,7.4,72,1.3
2015-07-11 12:10:00,1007.9,7.6,78,1.3
2015-07-11 12:20:00,1007.8,8.2,74,1.3
2015-07-11 12:30:00,1007.9,8.9,73,1.1
2015-07-11 12:40:00,1007.8,8.0,92,1.1
2015-07-11 12:50:00,1007.4,8.4,90,1.1
2015-07-11 13:00:00,1007.3,8.9,88,1.5
2015-07-11 13:10:00,1007.2,9.0,88,1.5
2015-07-11 13:20:00,1007.1,8.6,66,1.5
2015-07-11 13:30:00,1006.8,8.6,72,1.5
2015-07-11 13:40:00,1006.7,8.8,110,1.5
2015-07-11 13:50:00,1006.5,8.0,82,1.5
2015-07-11 14:00:00,1006.4,7.9,89,1.4
2015-07-11 14:10:00,1006.1,7.7,84,1.4
2015-07-11 14:20:00,1006.1,7.0,63,1.4
2015-07-11 14:30:00,1005.9,7.0,62,1.4
2015-07-11 14:40:00,1005.6,7.2,70,1.4
2015-07-11 14:50:00,1005.4,7.0,122,1.4
2015-07-11 15:00:00,1005.4,7.1,92,1.2
2015-07-11 15:10:00,1005.2,6.8,90,1.2
2015-07-11 15:20:00,1005.2,6.5,83,1.2
2015-07-11 15:30:00,1005.1,6.2,72,1.5
2015-07-11 15:40:00,1005.0,5.9,35,1.5
2015-07-11 15:50:00,1004.9,5.5,84,1.5
2015-07-11 16:00:00,1004.8,4.9,64,1.3
2015-07-11 16:10:00,1004.9,5.9,87,1.3
2015-07-11 16:30:00,1004.7,6.6,84,1.3
2015-07-11 16:40:00,1004.6,6.4,67,1.3
2015-07-11 16:50:00,1004.7,5.8,76,1.3
2015-07-11 17:00:00,1004.5,5.9,82,1.3
2015-07-11 17:10:00,1004.4,5.9,70,1.3
2015-07-11 17:30:00,1004.1,6.6,91,1.2
2015-07-11 17:40:00,1004.1,6.8,92,1.2
2015-07-11 17:50:00,1004.1,7.0,90,1.2
2015-07-11 18:00:00,1004.2,6.8,92,1.3
2015-07-11 18:10:00,1004.2,6.0,77,1.3
2015-07-11 18:20:00,1004.3,5.5,63,1.3
2015-07-11 18:30:00,1004.3,4.7,72,1.2
2015-07-11 18:40:00,1004.3,4.8,37,1.2
2015-07-11 18:50:00,1004.2,5.0,71,1.2
2015-07-11 19:00:00,1004.4,5.2,49,1.5
2015-07-11 19:10:00,1004.3,5.2,32,1.5
2015-07-11 19:20:00,1004.3,5.0,68,1.5
2015-07-11 19:30:00,1004.4,5.1,65,1.1
2015-07-11 19:40:00,1004.4,5.7,52,1.1
2015-07-11 19:50:00,1004.4,5.4,44,1.1
2015-07-11 20:00:00,1004.3,5.8,49,1.1
2015-07-11 20:10:00,1004.4,5.3,16,1.1
2015-07-11 20:20:00,1004.5,6.0,53,1.1
2015-07-11 20:30:00,1004.6,5.6,56,1.2
2015-07-11 20:40:00,1004.6,6.0,48,1.2
2015-07-11 21:00:00,1004.8,6.4,19,1.3
2015-07-11 21:10:00,1004.7,7.0,22,1.3
2015-07-11 21:20:00,1004.6,8.1,17,1.3
2015-07-11 21:30:00,1004.5,7.3,31,1.2
2015-07-11 21:40:00,1004.3,7.4,15,1.2
2015-07-11 21:50:00,1004.1,7.6,37,1.2
2015-07-11 22:00:00,1004.1,7.9,115,1.3
2015-07-11 22:10:00,1003.9,8.1,45,1.3
2015-07-11 22:20:00,1003.8,8.4,59,1.3
2015-07-11 22:40:00,1003.2,9.2,45,1.4
2015-07-11 22:50:00,1003.3,7.7,76,1.4
2015-07-11 23:00:00,1003.1,7.6,26,1.5
2015-07-11 23:10:00,1003.1,7.2,22,1.5
2015-07-11 23:20:00,1002.6,7.6,67,1.5
2015-07-11 23:30:00,1002.5,7.9,49,1.6
2015-07-11 23:40:00,1002.4,8.0,358,1.6
2015-07-11 23:50:00,1002.3,8.4,38,1.6
2015-07-12 00:00:00,1002.0,9.4,63,1.7
2015-07-12 00:10:00,1001.7,9.1,353,1.7
2015-07-12 00:20:00,1001.5,8.4,40,1.7
2015-07-12 00:30:00,1001.3,8.1,357,1.9
2015-07-12 00:40:00,1001.0,8.7,62,1.9
2015-07-12 00:50:00,1000.9,9.1,43,1.9
2015-07-12 01:00:00,1000.8,9.6,8,2.2
2015-07-12 01:10:00,1000.7,9.1,55,2.2
2015-07-12 01:20:00,1000.5,9.0,14,2.2
2015-07-12 01:30:00,1000.3,9.4,63,2.0
2015-07-12 01:40:00,1000.2,9.5,79,2.0
2015-07-12 01:50:00,999.8,8.5,28,2.0
2015-07-12 02:00:00,999.8,9.8,68,2.0
2015-07-12 02:10:00,999.7,10.0,12,2.0
2015-07-12 02:20:00,999.6,10.5,58,2.0
2015-07-12 02:30:00,999.3,10.5,48,1.9
2015-07-12 02:40:00,999.3,10.5,61,1.9
2015-07-12 02:50:00,999.2,9.8,66,1.9
2015-07-12 03:00:00,999.2,9.8,352,2.2
2015-07-12 03:10:00,999.0,9.0,7,2.2
2015-07-12 03:20:00,998.8,8.2,28,2.2
2015-07-12 03:30:00,999.0,8.3,29,2.3
2015-07-12 03:40:00,998.7,7.3,9,2.3
2015-07-12 03:50:00,998.6,8.1,352,2.3
2015-07-12 04:00:00,998.7,6.3,7,2.2
2015-07-12 04:10:00,998.3,6.0,0,2.2
2015-07-12 04:20:00,998.3,7.1,14,2.2
2015-07-12 04:30:00,998.3,8.9,0,2.1
2015-07-12 04:40:00,998.0,9.2,340,2.1
2015-07-12 04:50:00,998.0,8.8,12,2.1
2015-07-12 05:00:00,997.7,9.1,30,2.1
2015-07-12 05:10:00,997.7,9.2,11,2.1
2015-07-12 05:20:00,997.8,9.2,7,2.1
2015-07-12 05:30:00,997.8,9.1,21,2.1
2015-07-12 05:40:00,997.7,9.3,7,2.1
